"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"110","FSCN1",1.4428418094736e-18,0.672821360237347,0.759,0.59,3.0657502767695e-14
"111","FABP5",1.58848498078009e-18,-0.631176294031565,0.978,1,3.37521288716153e-14
"112","WARS",1.68857148274532e-18,0.782120177733506,0.897,0.734,3.58787668653726e-14
"113","MT-ND1",2.12198061214279e-18,-0.388235576111409,0.99,0.989,4.50878440468099e-14
"114","MAPK10",7.08454092020835e-18,-0.419542909505374,0.232,0.495,1.50532325472587e-13
"115","ANXA2",1.13792569296766e-17,0.427116921449749,0.996,0.995,2.41786451241768e-13
"116","SRRM3",1.18441025845929e-17,-0.395030811304219,0.145,0.378,2.5166349171743e-13
"117","IFITM3",1.37152282190009e-17,0.49824676386246,0.996,0.995,2.9142116919733e-13
"118","SOX21",3.06595634899487e-17,-0.287756215585935,0.101,0.303,6.51454405034431e-13
"119","TUBA4A",3.42341719625944e-17,-0.620831442102731,0.784,0.904,7.27407685861205e-13
"120","GSTM3",3.48572962451076e-17,-0.252145277356607,0.061,0.223,7.40647830616046e-13
"121","EPHA4",3.83663517946685e-17,-0.503132142270216,0.342,0.622,8.15208242933116e-13
"122","H2AFJ",5.08290466765064e-17,-0.596911246188648,0.711,0.862,1.08001558378241e-12
"123","CERS3",5.18754001845991e-17,-0.412708494496337,0.252,0.527,1.10224850312236e-12
"124","IGFBP6",9.35642790160129e-17,0.954032616027041,0.683,0.463,1.98805380053224e-12
"125","HIST1H2AC",1.34506551568561e-16,-0.632468839667809,0.39,0.665,2.85799520772877e-12
"126","SQLE",1.54368566072066e-16,0.725940728530377,0.74,0.543,3.28002329189926e-12
"127","SLC25A5",1.60668846239876e-16,-0.417160360037132,0.979,0.984,3.41389164490489e-12
"128","NEAT1",1.98610701831567e-16,-0.613396025920213,0.988,0.989,4.22008019251713e-12
"129","RAB5IF",2.08714932830218e-16,-0.530855009368843,0.76,0.899,4.43477489277648e-12
"130","WFDC2",3.40211575431311e-16,-0.738068856986582,0.639,0.809,7.2288155547645e-12
"131","RRAS",5.12036432082074e-16,0.595154506145319,0.724,0.495,1.08797501088799e-11
"132","NCBP2AS2",6.81031137623665e-16,-0.404856756817599,0.345,0.622,1.44705496122276e-11
"133","RHOB",7.3994126666864e-16,-0.709005408625905,0.493,0.761,1.57222720341753e-11
"134","FLNA",7.51008195926666e-16,0.689864804590271,0.699,0.473,1.59574221470498e-11
"135","RPL36",8.24418068779102e-16,0.372655052377744,0.996,1,1.75172351254184e-11
"136","SERPINB6",9.45382016156901e-16,0.513426241347688,0.884,0.835,2.00874770793018e-11
"137","KRT8",1.02654433304776e-15,0.829683307514632,0.633,0.399,2.18120139885988e-11
"138","KRT5",1.888822803348e-15,0.519839965070966,0.997,1,4.01337069255383e-11
"139","CD81",1.9980257120033e-15,-0.456847515671634,0.827,0.904,4.24540503286461e-11
"140","LAMC2",2.27124263555831e-15,0.620786014627014,0.513,0.245,4.8259363520343e-11
"141","KRT6A",2.55712107675923e-15,0.438736953018711,0.998,1,5.43337086389802e-11
"142","CAVIN3",2.83985709251803e-15,0.581432032484653,0.43,0.149,6.03412835018231e-11
"143","SERPINB1",2.96377955616504e-15,0.974649433443682,0.823,0.723,6.29743880093948e-11
"144","TPPP3",3.43585119235329e-15,0.572131128201138,0.355,0.085,7.30049661351227e-11
"145","KRT1",3.46919273852609e-15,-1.02375192658093,0.466,0.713,7.37134073082024e-11
"146","ID3",3.57595958509241e-15,0.823412687578387,0.721,0.516,7.59819892640435e-11
"147","PERP",3.71875189346826e-15,-0.345182701137726,0.998,1,7.90160402324135e-11
"148","KLHDC7B",3.85450769991628e-15,-0.525461742343535,0.882,0.947,8.19005796078211e-11
"149","ASCL2",4.1379293631848e-15,-0.286651720751096,0.113,0.309,8.79227231089506e-11
"150","GATA3",7.40991423973305e-15,-0.266926026136048,0.112,0.303,1.57445857765848e-10
"151","VSNL1",7.4212631819731e-15,0.537272217674648,0.677,0.447,1.57687000090564e-10
"152","SORT1",7.60269474511542e-15,-0.256693587930089,0.093,0.271,1.61542057944212e-10
"153","LMNA",8.05734356964567e-15,0.472712295755747,0.96,0.915,1.71202436167831e-10
"154","CAVIN1",8.46553357905074e-15,0.562649019707291,0.637,0.388,1.7987565748767e-10
"155","HSP90AA1",1.0248927832293e-14,-0.382331857107694,0.995,0.995,2.17769218580561e-10
"156","HSPA6",1.03961799707812e-14,-0.968905772438815,0.223,0.447,2.20898032019158e-10
"157","HS3ST1",1.05157256814567e-14,0.463653087894083,0.326,0.059,2.23438139279593e-10
"158","KRT4",1.15859208239525e-14,-0.535921894221779,0.139,0.346,2.46177645667343e-10
"159","COL7A1",1.18272686728887e-14,0.606946189496551,0.6,0.335,2.5130580476154e-10
"160","CAMK2N1",1.47596433949707e-14,0.485770619555161,0.339,0.069,3.13612902856336e-10
"161","INPP1",1.55275529257707e-14,0.536884119885212,0.735,0.564,3.29929444566776e-10
"162","DEFB1",1.71665440441677e-14,0.617014817589554,0.867,0.787,3.64754727850475e-10
"163","SMAD3",1.97630424190616e-14,0.525299492831997,0.671,0.447,4.1992512532022e-10
"164","THBD",2.12745671498419e-14,0.661623723255514,0.499,0.223,4.52042002799841e-10
"165","HIST2H2BE",2.77515485127263e-14,-0.292650452283912,0.15,0.367,5.89664902798408e-10
"166","SFXN5",3.22834740624507e-14,-0.329431608402071,0.145,0.34,6.85959256878953e-10
"167","MT1E",3.48986644176515e-14,0.849210762847538,0.918,0.793,7.41526821546259e-10
"168","HIST1H3G",4.15291116616669e-14,-0.446340441600153,0.192,0.415,8.82410564587099e-10
"169","AKR1C1",4.42032194326331e-14,-0.316914643945879,0.154,0.362,9.39230006504588e-10
"170","GRHL1",4.46506371862646e-14,-0.360762240415949,0.28,0.532,9.48736738933749e-10
"171","JAG1",4.98203846752929e-14,0.578076650147749,0.683,0.479,1.05858353358062e-09
"172","ARPC1B",6.35986256726286e-14,0.515340446120505,0.823,0.67,1.35134359829201e-09
"173","NCOA7",6.61477763631588e-14,0.631725455552528,0.681,0.484,1.4055079521644e-09
"174","DBP",8.03516720094367e-14,-0.396228090729009,0.243,0.468,1.70731232685651e-09
"175","CLDN4",8.73319898247739e-14,-0.550567386994413,0.394,0.649,1.8556301197968e-09
"176","TXNIP",9.62907303036195e-14,-0.46429514019802,0.67,0.862,2.04598543749131e-09
"177","DEGS2",1.11709618425927e-13,-0.364817097919857,0.103,0.277,2.3736059723141e-09
"178","CRNDE",1.35738110298427e-13,-0.43469217516712,0.469,0.713,2.88416336762097e-09
"179","SLC27A5",1.40202841492124e-13,-0.348085166014595,0.199,0.42,2.97902997602465e-09
"180","SLC16A3",2.50120090469982e-13,0.546826722765258,0.498,0.234,5.31455168230618e-09
"181","HIST3H2A",3.14432665923803e-13,-0.420277284789651,0.229,0.447,6.68106528554896e-09
"182","ADD3",3.81573501860803e-13,-0.479948036312756,0.677,0.851,8.10767376753834e-09
"183","CFD",3.96221547582009e-13,0.608832805120473,0.674,0.484,8.41891544302253e-09
"184","REX1BD",4.28111340361277e-13,-0.401408996250943,0.673,0.862,9.09650975999642e-09
"185","CA12",4.41408512978113e-13,-0.417536691072098,0.374,0.617,9.37904808375894e-09
"186","DBI",4.63096449853468e-13,-0.573831377238728,0.812,0.899,9.8398733664865e-09
"187","IMPA2",4.74779334567686e-13,-0.406634286594932,0.296,0.532,1.00881113008942e-08
"188","JUN",5.1793210297218e-13,-0.727339219343904,0.71,0.851,1.10050213239529e-08
"189","CNFN",7.22009492985935e-13,-0.45078719894492,0.388,0.622,1.53412577069651e-08
"190","PDPN",7.48335221512215e-13,0.377597091118123,0.273,0.037,1.59006267866915e-08
"191","CAV2",8.18290671745166e-13,0.497216770077378,0.807,0.628,1.73870401932413e-08
"192","PDLIM1",1.1342974178707e-12,0.386740255431767,0.945,0.936,2.41015515349166e-08
"193","ALDH3A1",1.65445254930333e-12,-0.470093690946077,0.463,0.686,3.51538077675971e-08
"194","CYP4X1",1.92263152394473e-12,-0.319907524274389,0.18,0.378,4.08520746207776e-08
"195","HSPE1",2.2800397867621e-12,-0.360911816536449,0.877,0.968,4.84462853891211e-08
"196","KDM5B",2.435304146938e-12,-0.465037648610817,0.613,0.798,5.17453425141385e-08
"197","LY6D",2.51861076157754e-12,0.39014976513541,0.999,1,5.35154414619997e-08
"198","GLTP",2.58919433431203e-12,-0.485809975700115,0.827,0.947,5.5015201215462e-08
"199","RAB32",3.08611010298177e-12,0.452665814119578,0.46,0.207,6.55736674681567e-08
"200","CTSZ",3.74710822139134e-12,0.428355547859127,0.453,0.202,7.96185554881231e-08
"201","AKR1B1",3.80563442359632e-12,-0.298003879242671,0.139,0.319,8.08621202325747e-08
"202","CEBPA",3.81315690818935e-12,-0.378613926565243,0.24,0.452,8.10219579852072e-08
"203","CD99",4.53483206137392e-12,0.468121932972592,0.667,0.463,9.6356111640073e-08
"204","SOD2",4.70248248128263e-12,0.952279725861297,0.804,0.713,9.99183477622934e-08
"205","MAGEF1",5.2887352252295e-12,-0.389019010576614,0.264,0.479,1.12375046065676e-07
"206","MIR205HG",5.38752773829449e-12,-0.531871068620076,0.979,0.973,1.14474189383281e-07
"207","ATP6V0C",5.69635324908018e-12,-0.38764362131481,0.884,0.952,1.21036113836456e-07
"208","CASK",6.05676945002446e-12,-0.336014931957272,0.314,0.543,1.2869423727412e-07
"209","TMPRSS11D",6.32698150919362e-12,-0.425866544462378,0.302,0.532,1.34435703107346e-07
"210","NCCRP1",6.47319680205264e-12,-0.264521205790456,0.093,0.25,1.37542485650015e-07
"211","RNF7",6.53932883530382e-12,-0.360249191350658,0.881,0.931,1.38947659092536e-07
"212","ALCAM",6.85648808108718e-12,0.368591252250014,0.262,0.037,1.4568665874694e-07
"213","WNT2B",7.08792516875809e-12,-0.359063774752333,0.419,0.654,1.50604233985772e-07
"214","P3H2",7.65481226132389e-12,0.37168951825841,0.301,0.069,1.6264945092861e-07
"215","EMP3",8.90461169152863e-12,0.480504171984572,0.317,0.085,1.892051892216e-07
"216","TMEM98",9.49573410406823e-12,-0.301598231596069,0.144,0.324,2.01765358243242e-07
"217","TALDO1",1.07769995909988e-11,-0.389020125278883,0.846,0.931,2.28989687309543e-07
"218","CDH3",1.32514568297229e-11,0.450754158653412,0.74,0.574,2.81566954717952e-07
"219","TSHZ2",1.43316150909654e-11,-0.316375500851461,0.164,0.351,3.04518157452833e-07
"220","CYP1B1",1.64094403710229e-11,0.713277359619784,0.35,0.122,3.48667789003494e-07
"221","PIK3R1",1.67935561059719e-11,-0.261545275811454,0.128,0.303,3.5682948013969e-07
"222","PLAC8",1.77497181907418e-11,-0.273926059131196,0.084,0.229,3.77146012116881e-07
"223","SDC4",1.88281873406852e-11,0.523784334278033,0.842,0.718,4.00061324614878e-07
"224","TSPO",1.89728155194826e-11,0.339724450346997,0.976,0.968,4.03134384157966e-07
"225","MUC20",2.05241645279641e-11,-0.359123467011078,0.18,0.378,4.36097447890182e-07
"226","SPTBN1",2.36294983484771e-11,0.436364709899404,0.708,0.553,5.02079580908441e-07
"227","PFKP",2.40829749400004e-11,0.428419391853172,0.428,0.197,5.11715051525129e-07
"228","IGF2BP2",2.45345988106139e-11,0.388283734956387,0.386,0.149,5.21311155527925e-07
"229","MT-ND2",2.63369516340791e-11,-0.324089169471106,0.99,0.979,5.59607548320913e-07
"230","TNFRSF12A",3.22857263265824e-11,0.591452632229104,0.518,0.293,6.86007112987223e-07
"231","SERF2",3.35023786791671e-11,-0.277812158832328,0.992,1,7.11858542174943e-07
"232","PDLIM4",3.41928084537426e-11,0.424581634364677,0.708,0.553,7.26528794025122e-07
"233","FZD6",3.64686856594574e-11,-0.410881320826003,0.752,0.867,7.74886632892152e-07
"234","SEMA3C",3.87629987005405e-11,-0.298428434942049,0.189,0.394,8.23636196389084e-07
"235","MARCKSL1",4.73746198237705e-11,-0.377075692471897,0.252,0.468,1.00661592201548e-06
"236","HSPA1A",4.98064516882243e-11,-0.595183892145483,0.928,0.952,1.05828748547139e-06
"237","PGK1",5.04978250205765e-11,0.628697197910679,0.852,0.793,1.07297778603721e-06
"238","BPGM",5.26442346669774e-11,0.493096325283621,0.411,0.181,1.11858469820394e-06
"239","NFE2L3",5.42114172787729e-11,-0.405537965423038,0.5,0.691,1.15188419433937e-06
"240","LMTK3",5.73699299080349e-11,-0.253663961927884,0.08,0.218,1.21899627068593e-06
"241","REL",6.1670152116475e-11,-0.340803846032252,0.56,0.75,1.31036739217086e-06
"242","CDK6",6.80168563781976e-11,0.453027416338078,0.49,0.266,1.44522216432394e-06
"243","IL33",7.28107155494683e-11,0.431396821576768,0.241,0.037,1.5470820839951e-06
"244","TMEM123",7.76378394427525e-11,0.453303636985212,0.878,0.835,1.6496488124796e-06
"245","EID1",8.53986527218356e-11,-0.386425472105351,0.551,0.723,1.81455057303356e-06
"246","SERPINB4",1.05817390285629e-10,-0.347218519577273,0.838,0.973,2.24840790878904e-06
"247","SPRR3",1.26548584538004e-10,-0.88752631445071,0.091,0.234,2.6889043242635e-06
"248","UNC5B-AS1",1.29133469142019e-10,-0.558062087961303,0.538,0.729,2.74382795232962e-06
"249","VPS13A",1.29804801338014e-10,-0.273105325486822,0.241,0.447,2.75809241883011e-06
"250","BCAM",1.35854663863975e-10,0.584451053814412,0.327,0.112,2.88663989778174e-06
"251","GABARAP",1.46821425522546e-10,-0.394833485191803,0.797,0.888,3.11966164950306e-06
"252","ADI1",1.48474462698e-10,-0.405802540924717,0.631,0.787,3.1547853834071e-06
"253","IFITM2",1.57553679570045e-10,0.381331341207209,0.285,0.074,3.34770058350432e-06
"254","ECHDC1",1.80947141032907e-10,-0.396190252656609,0.59,0.755,3.8447648526672e-06
